,id_mmpp,Consumo_diario,Plazo de entrega,Stock de seguridad,punto_pedido
644,3_mmpp_209,629.7941393018185,30.0,18000.0,36893.82417905456
645,3_mmpp_21,929.5291158763192,15.0,0.0,13942.936738144788
646,3_mmpp_211,150.49878217878202,60.0,4000.0,13029.92693072692
647,3_mmpp_212,32.39280709578316,30.0,2000.0,2971.7842128734947
648,3_mmpp_215,2807.8485304593432,60.0,90000.0,258470.9118275606
649,3_mmpp_216,31.485308517912888,30.0,400.0,1344.5592555373867
650,3_mmpp_217,274.9403017442148,20.0,6800.0,12298.806034884296
651,3_mmpp_219,123.48130367177048,35.0,5000.0,9321.845628511966
652,3_mmpp_22,4.200485605272286,15.0,600.0,663.0072840790843
653,3_mmpp_220,27.751192750607007,30.0,1000.0,1832.5357825182102
654,3_mmpp_222,26.56720069372182,60.0,1000.0,2594.032041623309
655,3_mmpp_224,184.05749895941727,60.0,6000.0,17043.449937565034
656,3_mmpp_229,61.89923504781726,35.0,5000.0,7166.473226673605
657,3_mmpp_230,107.60278211188742,25.0,10000.0,12690.069552797186
658,3_mmpp_231,1.989162018730489,25.0,200.0,249.72905046826222
659,3_mmpp_232,6.346124307516971,25.0,400.0,558.6531076879243
660,3_mmpp_233,0.473465140478668,15.0,0.0,7.10197710718002
661,3_mmpp_234,1.595013193102423,25.0,200.0,239.87532982756056
662,3_mmpp_24,1.887617065556712,15.0,0.0,28.31425598335068
663,3_mmpp_240,946.5051171151084,21.0,15000.0,34876.607459417275
664,3_mmpp_241,207.12230482136664,30.0,8000.0,14213.669144641
665,3_mmpp_242,0.064516129032258,15.0,0.0,0.9677419354838699
666,3_mmpp_244,3.8451612903225807,15.0,0.0,57.67741935483871
667,3_mmpp_245,4.053763440860215,15.0,0.0,60.806451612903224
668,3_mmpp_246,3.835913978494624,15.0,0.0,57.53870967741936
669,3_mmpp_250,20.25906368366285,28.0,800.0,1367.2537831425598
670,3_mmpp_251,12.297628487190922,21.0,1200.0,1458.2501982310093
671,3_mmpp_253,1.7784263267429758,15.0,0.0,26.676394901144636
672,3_mmpp_257,6.581835241068332,0.0,0.0,0.0
673,3_mmpp_258,463.97541049502007,40.0,10000.0,28559.016419800802
674,3_mmpp_26,5.135518557058619,2.0,450.0,460.27103711411723
675,3_mmpp_262,320.9636975026014,60.0,15000.0,34257.821850156084
676,3_mmpp_263,21.71462479559982,56.0,1.0,1217.01898855359
677,3_mmpp_264,69.01635895148902,56.0,1.0,3865.9161012833856
678,3_mmpp_266,5.062633714880333,20.0,0.0,101.25267429760666
679,3_mmpp_269,0.7442126009613003,180.0,120.0,253.95826817303404
680,3_mmpp_270,125.38860341905752,180.0,1.0,22570.948615430352
681,3_mmpp_272,21.768990634755465,0.0,0.0,0.0
682,3_mmpp_273,164.42926901788812,60.0,9000.0,18865.75614107329
683,3_mmpp_274,207.69360655071603,60.0,10000.0,22461.61639304296
684,3_mmpp_275,57.24137894058769,60.0,0.0,3434.4827364352614
685,3_mmpp_277,0.929100986076012,1.0,0.0,0.929100986076012
686,3_mmpp_279,6.641519250780437,1.0,0.0,6.641519250780437
687,3_mmpp_28,69.20340795798028,28.0,4000.0,5937.695422823448
688,3_mmpp_280,0.0861290322580645,28.0,160.0,162.4116129032258
689,3_mmpp_284,31.230293132154003,40.0,4000.0,5249.21172528616
690,3_mmpp_286,15.940860215053762,80.0,1000.0,2275.268817204301
691,3_mmpp_287,9.35483870967742,56.0,600.0,1123.8709677419356
692,3_mmpp_289,311.88627555869385,15.0,10000.0,14678.294133380408
693,3_mmpp_290,13.54031873296665,7.0,700.0,794.7822311307666
694,3_mmpp_291,82.79407314553292,30.0,3000.0,5483.822194365988
