id_mmpp,Plazo de entrega,Stock de seguridad
2_mmpp_342,15,0.0
2_mmpp_343,15,0.0
2_mmpp_347,42,400.0
2_mmpp_348,10,0.0
2_mmpp_350,21,18000.0
2_mmpp_351,15,400.0
2_mmpp_365,12,8000.0
2_mmpp_366,30,32000.0
2_mmpp_367,21,6000.0
2_mmpp_368,15,4000.0
2_mmpp_369,21,0.0
2_mmpp_37,27,2500.0
2_mmpp_373,10,1500.0
2_mmpp_374,10,0.0
2_mmpp_375,42,0.0
2_mmpp_376,20,0.0
2_mmpp_377,20,800.0
2_mmpp_378,35,3000.0
2_mmpp_379,30,1500.0
2_mmpp_38,15,0.0
2_mmpp_383,0,0.0
2_mmpp_39,15,1200.0
2_mmpp_396,15,0.0
2_mmpp_398,15,0.0
2_mmpp_399,15,0.0
2_mmpp_4,30,4000.0
2_mmpp_40,3,250.0
2_mmpp_400,15,0.0
2_mmpp_401,15,0.0
2_mmpp_402,15,0.0
2_mmpp_403,15,0.0
2_mmpp_405,15,0.0
2_mmpp_406,20,0.0
2_mmpp_407,15,0.0
2_mmpp_408,15,0.0
2_mmpp_41,5,220.0
2_mmpp_411,30,0.0
2_mmpp_413,49,5500.0
2_mmpp_414,60,1.0
2_mmpp_415,20,1.0
2_mmpp_416,15,0.0
2_mmpp_417,20,800.0
2_mmpp_418,15,0.0
2_mmpp_419,4,1.0
2_mmpp_42,10,400.0
2_mmpp_420,30,18000.0
2_mmpp_422,0,0.0
2_mmpp_43,30,30.0
2_mmpp_436,28,250.0
2_mmpp_438,15,900.0
2_mmpp_439,105,600.0
2_mmpp_44,35,700.0
2_mmpp_440,15,1200.0
2_mmpp_441,15,1000.0
2_mmpp_45,28,1500.0
2_mmpp_452,21,0.0
2_mmpp_454,15,0.0
2_mmpp_458,15,10000.0
2_mmpp_46,30,5000.0
2_mmpp_47,20,400.0
2_mmpp_472,120,300.0
2_mmpp_473,25,0.0
2_mmpp_474,15,4000.0
2_mmpp_478,15,0.0
2_mmpp_479,15,0.0
2_mmpp_48,20,400.0
2_mmpp_483,15,0.0
2_mmpp_484,25,4000.0
2_mmpp_485,15,0.0
2_mmpp_488,15,0.0
2_mmpp_49,120,0.0
2_mmpp_491,15,0.0
2_mmpp_493,15,0.0
2_mmpp_495,350,2700.0
2_mmpp_496,30,4000.0
2_mmpp_497,30,3250.0
2_mmpp_498,20,0.0
2_mmpp_499,15,800.0
2_mmpp_50,30,400.0
2_mmpp_500,28,6000.0
2_mmpp_501,30,3000.0
2_mmpp_502,25,6000.0
2_mmpp_504,7,15000.0
2_mmpp_505,4,80000.0
2_mmpp_508,12,4000.0
2_mmpp_509,15,500.0
2_mmpp_51,21,400.0
2_mmpp_510,20,1800.0
2_mmpp_511,20,0.0
2_mmpp_512,20,800.0
2_mmpp_514,30,4000.0
2_mmpp_515,20,75.0
2_mmpp_516,10,5000.0
2_mmpp_52,21,15000.0
2_mmpp_53,35,6000.0
2_mmpp_55,20,0.0
2_mmpp_56,35,15000.0
2_mmpp_57,10,0.0
2_mmpp_58,60,8000.0
2_mmpp_59,25,0.0
2_mmpp_6,30,10000.0
2_mmpp_60,25,0.0
2_mmpp_61,30,1100.0
2_mmpp_63,84,0.0
2_mmpp_64,90,0.0
2_mmpp_67,65,150.0
2_mmpp_68,90,0.0
2_mmpp_69,90,0.0
2_mmpp_7,4,175000.0
2_mmpp_70,20,200.0
2_mmpp_71,20,6000.0
2_mmpp_72,20,350.0
2_mmpp_73,25,4000.0
2_mmpp_74,20,1200.0
2_mmpp_75,45,20000.0
2_mmpp_76,21,6000.0
2_mmpp_77,90,20000.0
2_mmpp_79,20,150.0
2_mmpp_8,0,0.0
2_mmpp_80,35,0.0
2_mmpp_82,20,300.0
2_mmpp_83,27,1500.0
2_mmpp_84,15,2000.0
2_mmpp_85,56,2000.0
2_mmpp_86,15,4500.0
2_mmpp_87,42,0.0
2_mmpp_88,17,50000.0
2_mmpp_89,42,1000.0
2_mmpp_9,28,0.0
2_mmpp_90,30,50.0
2_mmpp_91,21,0.0
2_mmpp_92,8,100.0
2_mmpp_93,15,100.0
2_mmpp_94,28,500.0
2_mmpp_96,30,5000.0
2_mmpp_97,30,9000.0
2_mmpp_99,10,1300.0
31_mmpp_135,25,0.0
31_mmpp_137,0,0.0
31_mmpp_141,10,0.0
31_mmpp_177,10,0.0
31_mmpp_32,15,0.0
31_mmpp_345,30,90.0
31_mmpp_41,3,250.0
31_mmpp_44,15,0.0
31_mmpp_45,20,0.0
31_mmpp_51,20,0.0
31_mmpp_518,21,0.0
31_mmpp_82,20,52.0
34_mmpp_10,15,0.0
34_mmpp_100,8,110000.0
34_mmpp_125,15,0.0
34_mmpp_139,1,0.0
34_mmpp_141,15,0.0
34_mmpp_305,10,0.0
34_mmpp_32,15,0.0
34_mmpp_384,35,6000.0
34_mmpp_399,15,0.0
34_mmpp_41,15,250.0
34_mmpp_504,7,0.0
34_mmpp_82,20,50.0
34_mmpp_93,10,0.0
36_mmpp_500,0,0.0
37_mmpp_135,25,700.0
37_mmpp_177,15,0.0
3_mmpp_1,10,0.0
3_mmpp_10,20,0.0
3_mmpp_100,15,110000.0
3_mmpp_103,15,140000.0
3_mmpp_104,45,2000.0
3_mmpp_105,10,0.0
3_mmpp_107,5,1.0
3_mmpp_108,14,5000.0
3_mmpp_109,45,3000.0
3_mmpp_110,10,0.0
3_mmpp_111,15,0.0
3_mmpp_112,10,0.0
3_mmpp_113,90,6000.0
3_mmpp_114,60,0.0
3_mmpp_115,42,500.0
3_mmpp_116,0,0.0
3_mmpp_117,5,1.0
3_mmpp_118,20,0.0
3_mmpp_119,4,0.0
3_mmpp_12,20,0.0
3_mmpp_120,4,0.0
3_mmpp_121,6,0.0
3_mmpp_123,30,15000.0
3_mmpp_124,28,21000.0
3_mmpp_125,30,13000.0
3_mmpp_126,15,140.0
3_mmpp_127,8,50000.0
3_mmpp_128,90,7500.0
3_mmpp_129,25,4400.0
3_mmpp_13,9,20000.0
3_mmpp_130,14,1000.0
3_mmpp_131,30,3600.0
3_mmpp_132,20,200.0
3_mmpp_133,10,0.0
3_mmpp_134,14,0.0
3_mmpp_135,25,1080.0
3_mmpp_136,20,0.0
3_mmpp_137,15,300.0
3_mmpp_138,20,0.0
3_mmpp_139,10,120000.0
3_mmpp_140,10,0.0
3_mmpp_141,7,0.0
3_mmpp_142,2,1000.0
3_mmpp_144,15,35000.0
3_mmpp_145,42,0.0
3_mmpp_146,42,0.0
3_mmpp_15,1,0.0
3_mmpp_150,2,1000.0
3_mmpp_151,2,1300.0
3_mmpp_152,4,0.0
3_mmpp_155,20,2500.0
3_mmpp_16,5,1600000.0
3_mmpp_161,20,0.0
3_mmpp_17,5,1600000.0
3_mmpp_175,2,3000.0
3_mmpp_177,2,1000.0
3_mmpp_178,7,3000.0
3_mmpp_179,60,8000.0
3_mmpp_18,20,1.0
3_mmpp_180,15,0.0
3_mmpp_181,30,1000.0
3_mmpp_183,28,3000.0
3_mmpp_184,15,1000.0
3_mmpp_185,21,3000.0
3_mmpp_186,28,10000.0
3_mmpp_187,28,600.0
3_mmpp_188,15,3500.0
3_mmpp_189,35,10000.0
3_mmpp_19,15,3000.0
3_mmpp_190,7,0.0
3_mmpp_191,15,0.0
3_mmpp_193,15,8500.0
3_mmpp_195,15,2800.0
3_mmpp_196,15,0.0
3_mmpp_197,15,0.0
3_mmpp_199,15,0.0
3_mmpp_20,15,2000.0
3_mmpp_201,15,2.5
3_mmpp_202,15,2.5
3_mmpp_208,15,75000.0
3_mmpp_209,30,18000.0
3_mmpp_21,15,0.0
3_mmpp_211,60,4000.0
3_mmpp_212,30,2000.0
3_mmpp_213,15,0.0
3_mmpp_215,60,90000.0
3_mmpp_216,30,400.0
3_mmpp_217,20,6800.0
3_mmpp_219,35,5000.0
3_mmpp_22,15,600.0
3_mmpp_220,30,1000.0
3_mmpp_221,15,0.0
3_mmpp_222,60,1000.0
3_mmpp_224,60,6000.0
3_mmpp_225,15,0.0
3_mmpp_227,45,2000.0
3_mmpp_229,35,5000.0
3_mmpp_230,25,10000.0
3_mmpp_231,25,200.0
3_mmpp_232,25,400.0
3_mmpp_233,15,0.0
3_mmpp_234,25,200.0
3_mmpp_24,15,0.0
3_mmpp_240,21,15000.0
3_mmpp_241,30,8000.0
3_mmpp_242,15,0.0
3_mmpp_244,15,0.0
3_mmpp_245,15,0.0
3_mmpp_246,15,0.0
3_mmpp_248,15,0.0
3_mmpp_25,20,1.0
3_mmpp_250,28,800.0
3_mmpp_251,21,1200.0
3_mmpp_253,15,0.0
3_mmpp_257,0,0.0
3_mmpp_258,40,10000.0
3_mmpp_26,2,450.0
3_mmpp_262,60,15000.0
3_mmpp_263,56,1.0
3_mmpp_264,56,1.0
3_mmpp_266,20,0.0
3_mmpp_268,20,0.0
3_mmpp_269,180,120.0
3_mmpp_270,180,1.0
3_mmpp_272,0,0.0
3_mmpp_273,60,9000.0
3_mmpp_274,60,10000.0
3_mmpp_275,60,0.0
3_mmpp_276,15,0.0
3_mmpp_277,1,0.0
3_mmpp_278,20,0.0
3_mmpp_279,1,0.0
3_mmpp_28,28,4000.0
3_mmpp_280,28,160.0
3_mmpp_284,40,4000.0
3_mmpp_285,10,7500.0
3_mmpp_286,80,1000.0
3_mmpp_287,56,600.0
3_mmpp_289,15,10000.0
3_mmpp_29,10,0.0
3_mmpp_290,7,700.0
3_mmpp_291,30,3000.0
3_mmpp_292,10,40000.0
3_mmpp_295,32,740.0
3_mmpp_296,9,48000.0
3_mmpp_298,15,0.0
3_mmpp_3,19,15000.0
3_mmpp_30,15,2000.0
3_mmpp_300,42,300.0
3_mmpp_301,15,3000.0
3_mmpp_302,15,1000.0
3_mmpp_303,15,1000.0
3_mmpp_304,42,1500.0
3_mmpp_305,0,0.0
3_mmpp_306,14,5000.0
3_mmpp_307,15,4100.0
3_mmpp_308,15,0.0
3_mmpp_31,42,2000.0
3_mmpp_311,20,5000.0
3_mmpp_313,10,0.0
3_mmpp_32,15,2000.0
3_mmpp_320,15,0.0
3_mmpp_321,42,1.0
3_mmpp_327,120,0.0
3_mmpp_328,120,0.0
3_mmpp_329,15,160.0
3_mmpp_33,20,2000.0
3_mmpp_330,30,0.0
3_mmpp_332,40,3000.0
3_mmpp_333,60,0.0
3_mmpp_335,15,13100.0
3_mmpp_338,15,880.0
3_mmpp_339,15,100.0
3_mmpp_34,5,1400.0
3_mmpp_340,2,0.0
3_mmpp_343,19,1000.0
3_mmpp_344,35,50.0
3_mmpp_345,35,180.0
3_mmpp_35,10,0.0
3_mmpp_352,21,5000.0
3_mmpp_353,21,5000.0
3_mmpp_354,21,24500.0
3_mmpp_36,7,6000.0
3_mmpp_360,21,8500.0
3_mmpp_361,21,20000.0
3_mmpp_363,30,1000.0
3_mmpp_364,21,1000.0
3_mmpp_369,21,3500.0
3_mmpp_37,27,12000.0
3_mmpp_370,21,4900.0
3_mmpp_371,21,7000.0
3_mmpp_372,35,500.0
3_mmpp_374,10,0.0
3_mmpp_375,42,1600.0
3_mmpp_378,35,0.0
3_mmpp_38,5,0.0
3_mmpp_382,30,1600.0
3_mmpp_384,35,6000.0
3_mmpp_385,10,150.0
3_mmpp_386,15,0.0
3_mmpp_387,2,0.0
3_mmpp_388,25,3.0
3_mmpp_389,45,0.0
3_mmpp_390,45,0.0
3_mmpp_391,45,0.0
3_mmpp_392,45,0.0
3_mmpp_393,63,50.0
3_mmpp_394,15,0.0
3_mmpp_395,15,0.0
3_mmpp_396,15,0.0
3_mmpp_397,15,0.0
3_mmpp_399,15,0.0
3_mmpp_4,30,10000.0
3_mmpp_400,15,0.0
3_mmpp_401,0,0.0
3_mmpp_402,15,0.0
3_mmpp_403,15,0.0
3_mmpp_404,15,0.0
3_mmpp_405,28,0.0
3_mmpp_409,20,0.0
3_mmpp_41,15,10.0
3_mmpp_412,15,0.0
3_mmpp_415,20,1.0
3_mmpp_418,15,0.0
3_mmpp_421,35,7500.0
3_mmpp_423,15,0.0
3_mmpp_424,30,24500.0
3_mmpp_425,30,24500.0
3_mmpp_426,90,1.0
3_mmpp_427,56,1.0
3_mmpp_428,1,0.0
3_mmpp_429,20,0.0
3_mmpp_430,20,0.0
3_mmpp_431,20,0.0
3_mmpp_432,25,700.0
3_mmpp_433,20,0.0
3_mmpp_434,15,0.0
3_mmpp_435,15,0.0
3_mmpp_437,40,2000.0
3_mmpp_44,10,100.0
3_mmpp_443,21,0.0
3_mmpp_444,15,0.0
3_mmpp_445,56,0.0
3_mmpp_446,56,0.0
3_mmpp_447,15,0.0
3_mmpp_448,56,1.0
3_mmpp_449,21,0.0
3_mmpp_45,10,400.0
3_mmpp_450,21,0.0
3_mmpp_451,21,0.0
3_mmpp_453,30,0.0
3_mmpp_455,15,0.0
3_mmpp_456,56,1.0
3_mmpp_457,56,0.0
3_mmpp_462,56,0.0
3_mmpp_463,60,0.0
3_mmpp_465,15,1.0
3_mmpp_466,15,0.0
3_mmpp_467,15,0.0
3_mmpp_468,15,200.0
3_mmpp_469,15,0.0
3_mmpp_47,20,0.0
3_mmpp_470,21,0.0
3_mmpp_471,30,1.0
3_mmpp_473,30,0.0
3_mmpp_476,15,0.0
3_mmpp_477,0,0.0
3_mmpp_479,15,0.0
3_mmpp_48,20,600.0
3_mmpp_480,20,0.0
3_mmpp_481,15,0.0
3_mmpp_482,15,0.0
3_mmpp_485,0,0.0
3_mmpp_486,15,0.0
3_mmpp_487,30,0.0
3_mmpp_49,120,0.0
3_mmpp_494,0,0.0
3_mmpp_495,294,20000.0
3_mmpp_498,20,0.0
3_mmpp_5,15,5000.0
3_mmpp_500,0,0.0
3_mmpp_503,30,0.0
3_mmpp_505,3,225000.0
3_mmpp_506,14,2000.0
3_mmpp_507,10,125.0
3_mmpp_508,15,10000.0
3_mmpp_509,0,0.0
3_mmpp_51,19,500.0
3_mmpp_512,20,1200.0
3_mmpp_513,21,3000.0
3_mmpp_514,30,3500.0
3_mmpp_516,10,0.0
3_mmpp_517,15,650.0
3_mmpp_518,21,0.0
3_mmpp_53,20,0.0
3_mmpp_54,25,1000.0
3_mmpp_56,28,8000.0
3_mmpp_59,20,40.0
3_mmpp_60,25,50.0
3_mmpp_61,180,7000.0
3_mmpp_62,15,22000.0
3_mmpp_63,90,3500.0
3_mmpp_64,90,1800.0
3_mmpp_65,60,0.0
3_mmpp_66,150,0.0
3_mmpp_67,65,1100.0
3_mmpp_68,90,1200.0
3_mmpp_69,90,1080.0
